workerid,assignmentid
0,3WRFBPLXRANFM6E8SI3X3O9MM2YN3N
1,3QUO65DNQUNH3LR38HZB5MZRPPNOUB
2,3LJ7UR74RHC042XCSW8GDT1S02UN48
3,3HVVDCPGTEREXMGGEZIZ2HBRKLFYT5
