"","V1","V2","V3","V4","V5"
"1",0,2.06699551371043,2.05765208277288,982.612586397631,0
"2",1,0.24067120635739,0.240654771940299,1031.99753836719,0
"3",2,3.51839218687734,2.63732389093681,400.826927670968,0
"4",4,0.394573076785888,0.315640643290206,793.4909899731,0
"5",5,4.04123380502482,2.54438823962137,773.207278762895,0
"6",8,6.76503490704962,4.79778457231715,188.191806780131,0
"7",9,NA,NA,NA,0
"8",10,5.20548921540593,3.39540010633925,409.144757184062,0
"9",11,4.62346216549682,1.23303507506612,327.419335885497,0
"10",15,7.51586997275525,7.48354055169528,232.119678220025,0
"11",16,0.0305159926996336,0.0304767692859814,982.465744804823,0
"12",17,1.2116744264339,0.99613604490781,885.578587047296,0
"13",18,2.33942743361667,1.89098209526528,562.592952747007,0
"14",19,0.0250615325193524,0.0126573480612863,1062.43456495153,0
"15",20,0.520093850344212,0.257208260783602,796.546636124578,0
"16",21,1.43963094534772,1.43963094534772,928.153337840117,0
"17",22,1.41875816510338,0.519711270320222,686.806788925637,0
"18",23,3.00440791199109,2.88759290782602,444.259032116664,0
"19",25,7.95326845030078,1.68718376262483,1.05825385114526,0
"20",26,2.67770178119008,1.86060905325384,383.548973687029,0
"21",27,3.58905385027539,0.868324267148372,363.898801317295,0
"22",28,1.69503139636235,1.61423759195721,332.092165220586,0
"23",29,0.571314625543336,0.546432335545872,1206.09742248502,0
"24",31,1.26455126648129,1.26445321074163,777.771478042597,0
"25",32,3.23372203712059,2.82451123260218,546.58074922808,0
"26",33,1.24589485591618,0.149060214313265,694.826766982395,0
"27",34,5.22276201821515,5.16489529723067,591.124095355105,0
"28",35,0.725018416705706,0.247720618724519,652.256950493017,0
"29",36,6.35997203919292,2.65000694980124,345.238027412642,0
"30",37,1.1476873561928,0.99127822814387,456.249075381933,0
"31",39,0.902454035991205,0.124674044678789,716.564903965117,0
"32",40,8.78889830934488,4.91805014395363,2.72056582071008,0
"33",41,8.78889830934488,5.94657558979792,232.050268768633,0
"34",42,2.39713816557277,2.39713816560469,1063.65368971417,0
"35",43,0.986735149124172,0.144364416711458,768.101098902381,0
"36",45,1.74762498174309,1.51062045903627,642.620043658344,0
"37",46,5.64231064286979,5.14169051473445,555.9363768753,0
"38",48,8.15238414105007,2.38066589768487,76.5218755804375,0
"39",50,1.30246410333829,0.801868300089282,557.635070715602,0
"40",52,1.49625185838559,1.10895651066017,751.322731704854,0
"41",53,0.201548680932561,0.189901379762206,830.277775070179,0
